Postcode,Price,Rooms,Bedroom2,Bathroom,Car,Landsize,Distance,Propertycount,Total_Solar_Capacity_kW,Total_Solar_Installations
3000,637500.0,1.9852941176470589,1.7692307692307692,1.2615384615384615,0.7936507936507936,0.0,1.7431372549019606,17496.0,6669.332,210
3002,897500.0,2.0677966101694913,2.1463414634146343,1.4878048780487805,1.075,0.0,1.3983050847457628,3040.0,1976.254,206
3003,1010000.0,2.5303030303030303,2.491228070175439,1.543859649122807,1.125,71.5,2.4454545454545453,2230.0,4183.07,265
3006,595000.0,2.0526315789473686,2.0357142857142856,1.3928571428571428,0.9107142857142857,0.0,1.0092105263157896,8400.0,2795.5299999999997,84
3008,795000.0,2.375,2.4,1.8,1.6,0.0,1.7125,4707.0,3921.5649999999996,231
3011,820000.0,2.544,2.549520766773163,1.2971246006389776,1.1772575250836121,217.0,5.839733333333333,6026.855614973262,17268.786,2396
3012,750000.0,2.7364185110663986,2.7766233766233768,1.3229166666666667,1.6518324607329844,325.0,7.623340040241448,3772.8993963782696,28451.926,3826
3013,942500.0,2.8815789473684212,2.896153846153846,1.3923076923076922,1.5461847389558232,305.5,6.702960526315789,6543.0,15049.486,2566
3015,940000.0,3.026086956521739,3.0104895104895104,1.512280701754386,1.7711267605633803,360.0,7.528695652173913,4304.814492753623,18053.269,3128
3016,1225000.0,3.0833333333333335,3.0728155339805827,1.6990291262135921,1.6884422110552764,317.0,7.586250000000001,5682.75,18437.198,3123
3018,857000.0,3.0851063829787235,3.026315789473684,1.5175438596491229,2.0964912280701755,531.0,12.327659574468086,4701.489361702128,22986.287,3056
3019,682000.0,3.010752688172043,2.9705882352941178,1.3676470588235294,1.626865671641791,580.0,9.901075268817205,3589.0,10192.130000000001,1507
3020,653250.0,3.0713128038897892,3.081419624217119,1.2818371607515657,1.8461538461538463,571.5,11.977471636952998,4647.816855753646,57487.491,8052
3021,596500.0,3.1946902654867255,3.252808988764045,1.398876404494382,2.0057471264367814,570.0,14.110619469026549,9725.442477876106,51807.505000000005,9742
3022,620000.0,3.1515151515151514,3.1538461538461537,1.2692307692307692,2.0,604.0,12.8,1281.0,3014.372,523
3023,620000.0,3.437037037037037,3.4339622641509435,1.8679245283018868,2.19811320754717,538.0,14.8,5126.1407407407405,96859.121,16114
3024,505700.0,3.4225352112676055,3.395348837209302,1.6744186046511629,1.875,550.0,27.2,5262.0,80441.349,12938
3025,765000.0,3.1317365269461077,3.241758241758242,1.4175824175824177,2.4444444444444446,555.5,10.35688622754491,5132.0,21705.364,2942
3027,591000.0,3.7142857142857144,3.6666666666666665,2.0,2.0,445.5,17.6,1999.0,14995.633,2611
3028,610000.0,3.204081632653061,3.2888888888888888,1.6,2.409090909090909,530.5,15.5,5877.6122448979595,32353.306000000004,6054
3029,544000.0,3.3840304182509504,3.3903508771929824,1.7763157894736843,2.1911111111111112,567.0,18.4,12325.574144486693,330547.823,48668
